game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus,wl,point_difference
43,2008-02-08,23-040,CLE,ATL,W (+5),44:00,11,24,0.458,0,3,0.0,4,4,1.0,4,7,11,7,2,1,1,26,24.3,5,W,5
49,2008-02-22,23-054,CLE,WAS,W (+1),44:32,11,20,0.55,2,6,0.333,9,14,0.643,3,12,15,8,1,1,3,33,31.0,2,W,1
51,2008-02-26,23-058,CLE,MIL,L (-3),37:50,16,24,0.667,1,3,0.333,2,5,0.4,0,4,4,6,0,1,2,35,26.3,-2,L,3
52,2008-02-27,23-059,CLE,BOS,L (-5),39:00,7,24,0.292,1,6,0.167,11,15,0.733,4,4,8,4,0,0,3,26,13.4,-13,L,5
59,2008-03-12,23-073,CLE,NJN,L (-5),45:41,12,23,0.522,2,7,0.286,16,23,0.696,3,8,11,7,1,2,6,42,31.7,-4,L,5
60,2008-03-13,23-074,CLE,WAS,L (-2),43:23,9,22,0.409,1,7,0.143,6,8,0.75,2,5,7,7,0,0,7,25,11.6,3,L,2
66,2008-03-26,23-087,CLE,NOH,L (-1),40:33,6,14,0.429,1,2,0.5,8,10,0.8,0,3,3,8,2,2,2,21,19.9,-3,L,1
68,2008-03-30,23-091,CLE,PHI,W (+3),41:47,11,18,0.611,1,2,0.5,3,3,1.0,3,6,9,9,3,1,1,26,29.1,7,W,3
69,2008-04-02,23-094,CLE,CHA,W (+4),31:13,11,19,0.579,1,4,0.25,6,6,1.0,2,2,4,5,3,2,4,29,23.6,3,W,4
70,2008-04-03,23-095,CLE,CHI,L (-3),38:30,10,24,0.417,3,7,0.429,10,14,0.714,0,5,5,4,2,2,3,33,21.7,-1,L,3
73,2008-04-11,23-103,CLE,CHI,L (-5),38:11,13,21,0.619,2,6,0.333,6,12,0.5,0,6,6,2,3,0,3,34,24.5,-10,L,5
75,2008-04-14,23-106,CLE,PHI,W (+1),41:41,10,18,0.556,1,2,0.5,6,12,0.5,1,3,4,5,2,1,5,27,17.6,-5,W,1
1,2008-10-28,23-303,CLE,BOS,L (-5),36:00,9,21,0.429,0,4,0.0,4,8,0.5,1,6,7,6,2,1,3,22,14.1,-3,L,5
6,2008-11-07,23-313,CLE,IND,W (+4),39:20,11,24,0.458,1,6,0.167,4,7,0.571,2,7,9,8,1,4,4,27,21.5,-3,W,4
24,2008-12-13,23-349,CLE,ATL,L (-5),45:40,10,19,0.526,2,7,0.286,11,12,0.917,2,4,6,9,4,1,1,33,35.1,1,L,5
29,2008-12-25,23-361,CLE,WAS,W (+4),38:13,6,13,0.462,0,2,0.0,6,10,0.6,0,5,5,6,3,1,3,18,15.7,-4,W,4
33,2009-01-04,24-005,CLE,WAS,L (-3),40:46,11,22,0.5,3,9,0.333,5,8,0.625,0,6,6,10,1,2,7,30,20.4,0,L,3
41,2009-01-23,24-024,CLE,GSW,W (+1),40:39,10,24,0.417,2,5,0.4,10,16,0.625,2,7,9,8,3,2,2,32,27.5,12,W,1
42,2009-01-24,24-025,CLE,UTA,W (+5),41:08,14,27,0.519,1,6,0.167,4,6,0.667,4,10,14,9,1,0,2,33,29.6,16,W,5
48,2009-02-04,24-036,CLE,NYK,W (+5),44:03,17,33,0.515,2,7,0.286,16,19,0.842,0,9,9,11,0,2,3,52,42.9,7,W,5
50,2009-02-10,24-042,CLE,IND,L (-1),41:10,15,21,0.714,4,7,0.571,13,14,0.929,0,7,7,4,1,1,7,47,37.1,7,L,1
58,2009-03-01,24-061,CLE,ATL,W (+1),43:43,8,20,0.4,2,7,0.286,8,14,0.571,1,5,6,11,1,2,0,26,23.9,4,W,1
63,2009-03-10,24-070,CLE,LAC,W (+4),43:42,10,23,0.435,0,6,0.0,12,16,0.75,4,9,13,11,2,2,4,32,30.1,7,W,4
